sku,mpn,category,group,properties,mpn,rrp,inkoop
ALF147TV,8714767627678,Boot mat,velour,,CK-SAR05V,64.95,32.21
ALF159TV,8714767627654,Boot mat,velour,,CK-SAR03V,64.95,32.21
ALF259TV,8714767627661,Boot mat,velour,,CK-SAR04V,64.95,32.21
ALF1GITV,8714767627685,Boot mat,velour,,CK-SAR06V,64.95,32.21
ALF1GATV,8714767627647,Boot mat,velour,,CK-SAR02V,64.95,32.21
ALF1MITV,8714767627630,Boot mat,velour,,CK-SAR01V,64.95,32.21
ALF1STTV,8714767627692,Boot mat,velour,,CK-SAR07V,64.95,32.21
ALF1TOTV,8719457476260,Boot mat,velour,High boot floor,CK-SAR08V,64.95,32.21
ALF2TOTV,8719457476277,Boot mat,velour,Low boot floor,CK-SAR09V,64.95,32.21
AUDI,,,,,,,
,,Boot mats velour,,,,,
AUD1A1TV,8714767627746,Boot mat,velour,,CK-SAU06V,64.95,32.21
AUD2A1TV,8714767627982,Boot mat,velour,,CK-SAU32V,64.95,32.21
AUD1A3TV,8714767628019,Boot mat,velour,,CK-SAU35V,64.95,32.21
AUD2A3TV,8714767627708,Boot mat,velour,,CK-SAU01V,64.95,32.21
AUD3A3TV,8714767627845,Boot mat,velour,,CK-SAU18V,64.95,32.21
AUD4A3TV,8714767627883,Boot mat,velour,,CK-SAU22V,64.95,32.21
AUD5A3TV,8714767627890,Boot mat,velour,,CK-SAU23V,64.95,32.21
AUD6A3TV,8714767627753,Boot mat,velour,,CK-SAU07V,64.95,32.21
AUD1A4TV,8714767627869,Boot mat,velour,,CK-SAU20V,64.95,32.21
AUD2A4TV,8714767627852,Boot mat,velour,,CK-SAU19V,64.95,32.21
AUD3A4TV,8714767627760,Boot mat,velour,,CK-SAU08V,64.95,32.21
AUD4A4TV,8714767627876,Boot mat,velour,,CK-SAU21V,64.95,32.21
AUD5A4TV,8714767627791,Boot mat,velour,,CK-SAU13V,64.95,32.21
AUD6A4TV,8714767627951,Boot mat,velour,,CK-SAU29V,64.95,32.21
AUD7A4TV,8714767627913,Boot mat,velour,,CK-SAU25V,64.95,32.21
AUD8A4TV,8714767627906,Boot mat,velour,,CK-SAU24V,64.95,32.21
AUD9A4TV,8714767631798,Boot mat,velour,,CK-SSE04V,64.95,32.21
AUD1A5TV,8714767627791,Boot mat,velour,,CK-SAU13V,64.95,32.21
AUD2A5TV,8714767627715,Boot mat,velour,,CK-SAU03V,64.95,32.21
AUD1A6TV,8714767627784,Boot mat,velour,,CK-SAU10V,64.95,32.21
AUD2A6TV,8714767627777,Boot mat,velour,,CK-SAU09V,64.95,32.21
AUD3A6TV,8714767627722,Boot mat,velour,,CK-SAU04V,64.95,32.21
AUD4A6TV,8714767627937,Boot mat,velour,,CK-SAU27V,64.95,32.21
AUD5A6TV,8714767627739,Boot mat,velour,,CK-SAU05V,64.95,32.21
AUD6A6TV,8714767627920,Boot mat,velour,,CK-SAU26V,64.95,32.21
AUD1ETTV,8714767628002,Boot mat,velour,,CK-SAU34V,64.95,32.21
AUD2ETTV,8714767628002,Boot mat,velour,,CK-SAU34V,64.95,32.21
AUD1Q2TV,8714767627975,Boot mat,velour,,CK-SAU31V,64.95,32.21
AUD1Q3TV,8714767627999,Boot mat,velour,,CK-SAU33V,64.95,32.21
AUD2Q3TV,8714767627807,Boot mat,velour,Only for models with full spare tire,CK-SAU14V,64.95,32.21
AUD3Q3TV,8714767627814,Boot mat,velour,Not for models with full spare tire,CK-SAU15V,64.95,32.21
AUD1Q5TV,8714767627821,Boot mat,velour,,CK-SAU16V,64.95,32.21
AUD2Q5TV,8714767627968,Boot mat,velour,,CK-SAU30V,64.95,32.21
AUD1Q7TV,8714767627838,Boot mat,velour,,CK-SAU17V,64.95,32.21
AUD2Q7TV,8714767627944,Boot mat,velour,,CK-SAU28V,64.95,32.21
BAIC,,,,,,,
,,Boot mats velour,,,,,
BEI1B3TV,8719457653944,Boot mat,velour,,CK-SBA01V,64.95,32.21
BEI1B5TV,8719457653937,Boot mat,velour,,CK-SBA02V,64.95,32.21
BEI1B7TV,8719457654187,Boot mat,velour,,CK-SBA03V,64.95,32.21
BMW,,,,,,,
,,Boot mats velour,,,,,
BMW11STV,8714767628033,Boot mat,velour,,CK-SBM02V,64.95,32.21
BMW21STV,8714767628118,Boot mat,velour,,CK-SBM10V,64.95,32.21
BMW31STV,8714767628286,Boot mat,velour,,CK-SBM28V,64.95,32.21
